Frontier,SolutionIndex,Fire Hazard,Peak Sediment Delivery (t),Northern Spotted Owl Habitat (ha)
NONE,1,23123.156996512967,21.783375832173935,2530.0413967362438
NONE,10,23143.67149295311,19.270687090254935,2539.220948498217
NONE,100,23533.101581050698,2.32233538293833,2535.257734175757
NONE,101,23534.228933881797,2.3631076749139313,2536.272893039677
NONE,102,23535.21828868793,2.32233538293833,2537.8953535972673
NONE,103,23538.037368386318,2.5419368611119313,2539.220948498217
NONE,104,23556.53599582284,1.80380622995392,2535.257734175757
NONE,105,23557.3543695505,1.5960327933409202,2536.272893039677
NONE,106,23557.339569633918,2.010703264741931,2539.220948498217
NONE,107,23566.483834899733,1.494789169443331,2537.8953535972673
NONE,108,23574.859140864854,1.290702733749331,2539.220948498217
NONE,109,23610.632843688487,0.79029943867492,2535.257734175757
NONE,110,23611.149404368258,0.79029943867492,2536.272893039677
NONE,111,23612.51851930983,0.79029943867492,2537.8953535972673
NONE,112,23619.750015166817,0.79029943867492,2539.220948498217
NONE,113,23722.736636816582,0.27575306781892,2530.7600878792964
NONE,114,23722.98149559561,0.27575306781892,2535.257734175756
NONE,116,23724.264486800424,0.27575306781892,2537.895353597265
NONE,117,23733.51007007176,0.27575306781892,2539.2209484982154
NONE,119,23988.372164746266,0.0,2540.0563187479715
NONE,12,23145.30008682144,18.554637545393934,2535.2227409619877
NONE,120,23789.559194826004,0.09957354793520001,2540.0
NONE,13,23145.769630625127,18.197875967624935,2536.272893039677
NONE,14,23146.322167438702,18.197875967624935,2537.717901175174
NONE,15,23148.08878668353,18.197875967624935,2538.730723847022
NONE,16,23155.907460777013,18.197875967624935,2540.056318747972
NONE,18,23158.879297822183,17.61627674181393,2531.2690012360267
NONE,19,23159.544044494483,17.658062574390918,2536.272893039677
NONE,2,23123.31677793744,21.426614254404935,2536.272893039677
NONE,20,23160.17557702465,17.668025776838327,2537.8953535972673
NONE,21,23167.61408711257,17.61627674181393,2539.220948498217
NONE,22,23177.30958442444,16.97281385410092,2535.2227409619877
NONE,23,23177.33097931472,17.04311415339393,2536.845201519577
NONE,24,23177.472583000854,17.06533518110092,2537.8953535972673
NONE,25,23183.236594608512,16.533832333624936,2537.8953535972673
NONE,26,23186.187556555124,17.06533518110092,2539.220948498217
NONE,27,23191.75729476437,16.56531940576092,2539.220948498217
NONE,28,23196.205970255454,15.962187056813212,2536.272893039677
NONE,29,23197.112997954093,15.96218705681393,2537.8953535972673
NONE,3,23124.726053890907,21.426614254404935,2537.8953535972673
